单词
当用汉字		假名				汉语
中国人			ちゅうごくじん			中国人
日本人			にほんじん			日本人
韓国人			かんこくじん			韩国人
アメリカ人		アメリカじん			美国人
フランス人		フランスじん			法国人
学生			がくせい			学生
先生			せんせい			老师
留学生			りゅうがくせい			留学生
教授			きょうじゅ			教授
社員			しゃいん			职员
会社員			かいしゃいん			公司职员	
店員			てんいん			店员
研修生			けんしゅうせい			进修生
企業			企業				企业
大学			だいがく			大学
父			ちち				父亲
課長			かちょう			科长
社長			社長				社长
出迎え			でむかえ			迎接
あの人			あのひと			那个人
私			わたし				我
あなた			あなた				你
どうも			どうも				很，非常
